,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_model__dropout_rate,param_model__init_mode,param_model__init_recurrent,param_model__init_units,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
10,1287.592900276184,64.04635228024034,51.58339991569519,21.222895811514004,32,15,0.2,he_uniform,orthogonal,30,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'he_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 30}",0.968939393939394,0.9994949494949495,0.9978535353535354,0.9722222222222222,0.9873737373737373,0.9987373737373737,0.9699494949494949,0.9978535353535354,0.9978535353535354,0.9926767676767677,0.9882954545454545,0.01223992920744917,48
11,1621.972200679779,95.54746713566762,59.038499641418454,13.313014927277655,32,15,0.2,he_uniform,orthogonal,60,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'he_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 60}",0.9906565656565657,0.9954545454545455,0.9983585858585858,0.9862373737373737,0.9991161616161616,0.9994949494949495,0.9833333333333333,0.9921717171717171,0.9987373737373737,0.9996212121212121,0.9943181818181819,0.005648612283789566,16
12,1338.1389002084732,127.68215477730331,49.14439971446991,12.219361235788341,32,15,0.3,glorot_uniform,glorot_uniform,17,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.3, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 17}",0.8962121212121212,0.9881313131313131,0.9678030303030303,0.8731060606060606,0.9876262626262626,0.9950757575757576,0.8726010101010101,0.9832070707070707,0.993560606060606,0.9516414141414141,0.9508964646464648,0.047968547657618175,89
13,1381.657100725174,103.79163913797233,49.76799960136414,13.89616291761205,32,15,0.3,glorot_uniform,glorot_uniform,30,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.3, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 30}",0.9641414141414142,0.997979797979798,0.9963383838383838,0.9607323232323233,0.9996212121212121,0.9994949494949495,0.9681818181818181,0.9930555555555556,0.9994949494949495,0.9926767676767677,0.9871717171717173,0.015213593366463092,52
14,1594.0480999946594,128.39325642154014,55.20039992332458,11.428754663552153,32,15,0.3,glorot_uniform,glorot_uniform,60,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.3, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 60}",0.9809343434343434,0.9987373737373737,0.9998737373737374,0.9819444444444444,0.9972222222222222,0.9991161616161616,0.9837121212121213,0.9981060606060606,0.998989898989899,0.9953282828282828,0.9933964646464647,0.00745164538384914,22
15,1317.9432723760606,87.36089644760074,52.06399590969086,11.142538753351882,32,15,0.3,glorot_uniform,orthogonal,17,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.3, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 17}",0.8709595959595959,0.9893939393939394,0.9488636363636364,0.8939393939393939,0.9973484848484848,0.9901515151515151,0.8758838383838384,0.9755050505050505,0.9872474747474748,0.9392676767676768,0.9468560606060606,0.04727028727893147,91
16,1369.1999770164489,118.2786704349895,57.87159421443939,9.702892624811128,32,15,0.3,glorot_uniform,orthogonal,30,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.3, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 30}",0.9667929292929293,0.9967171717171717,0.9996212121212121,0.9589646464646465,0.998989898989899,0.9998737373737374,0.959469696969697,0.9955808080808081,1.0,0.98989898989899,0.9865909090909091,0.016627670939532695,53
17,1622.7222969055176,78.53233768435955,49.18148200511932,9.082881240084564,32,15,0.3,glorot_uniform,orthogonal,60,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.3, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 60}",0.9820707070707071,0.9939393939393939,0.9998737373737374,0.983459595959596,0.9978535353535354,0.9998737373737374,0.98989898989899,0.9983585858585858,0.9970959595959596,0.9928030303030303,0.9935227272727273,0.006179146386542381,21
18,1296.2874593496322,110.70661811738843,45.33552815914154,14.731364849335916,32,15,0.3,he_uniform,glorot_uniform,17,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.3, 'model__init_mode': 'he_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 17}",0.9136363636363637,0.9946969696969697,0.991540404040404,0.8833333333333333,0.9957070707070707,0.9849747474747474,0.9047979797979798,0.9805555555555555,0.9978535353535354,0.9650252525252525,0.9612121212121212,0.04127713541379263,81
19,1267.0177078962327,67.47673678094586,56.8112028837204,9.599070791424339,32,15,0.3,he_uniform,glorot_uniform,30,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.3, 'model__init_mode': 'he_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 30}",0.9693181818181819,0.9997474747474747,0.992550505050505,0.9678030303030303,1.0,0.9982323232323232,0.9743686868686868,0.9953282828282828,0.9986111111111111,0.9914141414141414,0.9887373737373737,0.012339651051080926,44
